ID,Fight_Num,Event_Card,Event_Weight,Red_Event_fighter_image,Red_Fighter_Name,Red_Fighter_Nickname,Blue_Fighter_Name,Blue_Event_fighter_image,Blue_Fighter_Nickname
0,0, main_card, Middleweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-08/CANNONIER_JARED_L_08-24.png?itok=zXMq_n4z, Jared Cannonier," ""Tha Killa Gorilla""", Caio Borralho, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-08/BORRALHO_CAIO_R_08-24.png?itok=PjN5kP-e," ""The Natural"""
0,1, main_card, Women's Strawweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-08/HILL_ANGELA_L_08-24.png?itok=Lc0vPY_f, Angela Hill," ""Overkill""", Tabatha Ricci, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-08/RICCI_TABATHA_R_08-24.png?itok=lzdAmZXv," ""Baby Shark"""
0,2, main_card, Middleweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/image/fighter_images/SHADOW_Fighter_fullLength_RED.png?VersionId=0NwYm4ow5ym9PWjgcpd05ObDBIC5pBtX&itok=woJQm5ZH, Ryan Loder," ""Man of Steel""", Robert Valentin, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/image/fighter_images/SHADOW_Fighter_fullLength_BLUE.png?VersionId=1Jeml9w1QwZqmMUJDg8qTrTk7fFhqUra&itok=fiyOmUkc," ""Robzilla"""
0,3, main_card, Featherweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-08/OFLI_KAAN_L_08-24.png?itok=euIe5aUU, Kaan Ofli," ""Genghis""", Mairon Santos, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-08/SANTOS_MAIRON_R_08-24.png?itok=Hr2nPOcx," ""The Legend"""
0,4, main_card, Welterweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-08/MAGNY_NEIL_L_08-24.png?itok=ObSN8-A3, Neil Magny," ""The Haitian Sensation""", Michael Morales, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-08/MORALES_MICHAEL_R_08-24.png?itok=8q4HbpL_, 
0,5, main_card, Middleweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-08/SHAHBAZYAN_EDMEN_L_08-24.png?itok=PQlOSyYz, Edmen Shahbazyan," ""The Golden Boy""", Gerald Meerschaert, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-08/MEERSCHAERT_GERALD_R_08-24.png?itok=aQfKtOBE," ""GM3"""
0,6, prelims, Featherweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-08/BUZUKJA_DENNIS_L_08-24.png?itok=UQJnifOG, Dennis Buzukja," ""The Great""", Francis Marshall, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-08/MARSHALL_FRANCIS_R_08-24.png?itok=fjTWMd3R," ""Fire"""
0,7, prelims, Middleweight Bout , https://www.ufc.com/s3/files/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-08/REESE_ZACHARY_L_08-24.png?itok=IT2hxg_I, Zachary Reese," ""Savage""", Jose Daniel Medina, https://www.ufc.com/s3/files/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-08/MEDINA_JOSE_R_08-24.png?itok=BvZha62e," ""Chicho"""
0,8, prelims, Lightweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-08/BORSHCHEV_VIACHESLAV_L_08-24.png?itok=sdF_AyFW, Viacheslav Borshchev," ""Slava Claus""", James Llontop, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-08/LLONTOP_JAMES_R_08-24.png?itok=638XT-8B," ""Goku"""
0,9, prelims, Women's Bantamweight Bout , https://www.ufc.com/s3/files/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-08/CAVALCANTI_JACQUELINE_L_08-24.png?itok=HbvoQbzN, Jacqueline Cavalcanti, , Josiane Nunes, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-08/NUNES_JOSIANE_R_08-24.png?itok=JCldX-Zr," ""Josi"""
