ID,Event_Name,Event_Date,Red_Fighter_images,Blue_Fighter_images
0,Cannonier vs Imavov,"Sat, Jun 8 / 8:00 PM EDT / Main Card",https://dmxg5wxfqgb4u.cloudfront.net/styles/event_results_athlete_headshot/s3/2023-06/CANNONIER_JARED_06-17.png?itok=5JUA6iGn,https://dmxg5wxfqgb4u.cloudfront.net/styles/event_results_athlete_headshot/s3/2024-02/IMAVOV_NASSOURDINE_02-03.png?itok=NWRxHaD_
1,Perez vs Taira,"Sat, Jun 15 / 7:00 PM EDT / Main Card",https://dmxg5wxfqgb4u.cloudfront.net/styles/event_results_athlete_headshot/s3/2024-04/PEREZ_ALEX_04-27.png?itok=meuJUIHa,https://dmxg5wxfqgb4u.cloudfront.net/styles/event_results_athlete_headshot/s3/2023-12/TAIRA_TATSURO_12-09.png?itok=UL-ALP_N
2,Whittaker vs Chimaev,"Sat, Jun 22 / 3:00 PM EDT / Main Card",https://dmxg5wxfqgb4u.cloudfront.net/styles/event_results_athlete_headshot/s3/2024-02/WHITTAKER_ROBERT_02-17.png?itok=YPm9Mt0Q,https://dmxg5wxfqgb4u.cloudfront.net/styles/event_results_athlete_headshot/s3/2021-10/71660%252Fprofile-galery%252Fprofile-picture%252FCHIMAEV_KHAMZAT_10-30.png?itok=mGNJiQFI
3,McGregor vs Chandler,"Sat, Jun 29 / 10:00 PM EDT / Main Card",https://dmxg5wxfqgb4u.cloudfront.net/styles/event_results_athlete_headshot/s3/2021-07/67667%252Fprofile-galery%252Fprofile-picture%252FMCGREGOR_CONOR_07-10.png?itok=AAIVtDBU,https://dmxg5wxfqgb4u.cloudfront.net/styles/event_results_athlete_headshot/s3/2022-05/b2402ab0-3642-4e6c-9afc-20dfdb604179%252FCHANDLER_MICHAEL_05-07.png?itok=zQ1n104J
4,Barber vs Namajunas,"Sat, Jul 13 / 10:00 PM EDT / Main Card",https://dmxg5wxfqgb4u.cloudfront.net/styles/event_results_athlete_headshot/s3/2024-03/BARBER_MAYCEE_03-09.png?itok=H5-qMKW3,https://dmxg5wxfqgb4u.cloudfront.net/styles/event_results_athlete_headshot/s3/2024-03/NAMAJUNAS_ROSE_03-23.png?itok=BvrCnyoR
5,TBD vs TBD,"Sat, Jul 20 / 6:00 PM EDT / Main Card",https://dmxg5wxfqgb4u.cloudfront.net/styles/event_results_athlete_headshot/s3/2019-04/SILHOUETTE.png?itok=50meVKBM,https://dmxg5wxfqgb4u.cloudfront.net/styles/event_results_athlete_headshot/s3/2019-04/SILHOUETTE.png?itok=50meVKBM
6,Edwards vs Muhammad 2,"Sat, Jul 27 / 10:00 PM EDT / Main Card",https://dmxg5wxfqgb4u.cloudfront.net/styles/event_results_athlete_headshot/s3/2023-12/EDWARDS_LEON_BELT_12-16.png?itok=PybcZaCp,https://dmxg5wxfqgb4u.cloudfront.net/styles/event_results_athlete_headshot/s3/2023-05/MUHAMMAD_BELAL_05-06.png?itok=kXjdOJ-D
7,Sandhagen vs Nurmagomedov,"Sat, Aug 3 / 3:00 PM EDT / Main Card",https://dmxg5wxfqgb4u.cloudfront.net/styles/event_results_athlete_headshot/s3/2023-08/SANDHAGEN_CORY_08-05.png?itok=cMELdF6p,https://dmxg5wxfqgb4u.cloudfront.net/styles/event_results_athlete_headshot/s3/2024-02/NURMAGOMEDOV_UMAR_03-02.png?itok=XEu6biYZ
8,Makhachev vs Poirier,"Sat, Jun 1 / 10:00 PM EDT / Main Card",https://dmxg5wxfqgb4u.cloudfront.net/styles/event_results_athlete_headshot/s3/2024-05/MAKHACHEV_ISLAM_BELT_06-01.png?itok=1dw0Q_2Q,https://dmxg5wxfqgb4u.cloudfront.net/styles/event_results_athlete_headshot/s3/2024-05/POIRIER_DUSTIN_06-01.png?itok=uB0PPVOu
9,Barboza vs Murphy,"Sat, May 18 / 7:00 PM EDT / Main Card",https://www.ufc.com/s3/files/styles/event_results_athlete_headshot/s3/2024-06/BARBOZA_EDSON_05-18.png?itok=7OpcgjyS,https://dmxg5wxfqgb4u.cloudfront.net/styles/event_results_athlete_headshot/s3/2024-06/MURPHY_LERONE_05-18.png?itok=81ceUEbv
