First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,SLpM,Str.Acc,SApM,Str.Def,TD Avg,TD Acc,TD Def,Sub. Avg,Total Fights,Weight Class,Fighter_ID
Tom,Aaron,,--,155 lbs.,--,,5,3,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,8,LightWeight,1
Danny,Abbadi,The Assassin,"5' 11""",155 lbs.,--,Orthodox,4,6,0,0,3.29,38%,4.41,57%,0.00,0%,77%,0.0,10,LightWeight,2
Nariman,Abbasov,Bayraktar,"5' 8""",155 lbs.,"66.0""",Orthodox,28,4,0,0,3.00,20%,5.67,46%,0.00,0%,66%,0.0,32,LightWeight,3
David,Abbott,Tank,"6' 0""",265 lbs.,--,Switch,10,15,0,0,1.35,30%,3.55,38%,1.07,33%,66%,0.0,25,HeavyWeight,4
Hamdy,Abdelwahab,The Hammer,"6' 2""",264 lbs.,"72.0""",Southpaw,5,0,0,0,3.87,52%,3.13,59%,3.00,75%,0%,0.0,5,HeavyWeight,5
Mansur,Abdul-Malik,,--,185 lbs.,--,,5,0,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,5,MiddleWeight,6
Shamil,Abdurakhimov,Abrek,"6' 3""",235 lbs.,"76.0""",Orthodox,20,8,0,0,2.41,44%,3.02,55%,1.01,23%,45%,0.1,28,HeavyWeight,7
Hiroyuki,Abe,Abe Ani,"5' 6""",145 lbs.,--,Orthodox,8,15,3,0,1.71,36%,3.11,63%,0.00,0%,33%,0.0,26,FeatherWeight,8
Daichi,Abe,,"5' 11""",170 lbs.,"71.0""",Orthodox,6,2,0,0,3.80,33%,4.49,56%,0.33,50%,0%,0.0,8,WelterWeight,9
Papy,Abedi,Makambo,"5' 11""",185 lbs.,--,Southpaw,10,4,0,0,2.80,55%,3.15,48%,3.47,57%,50%,1.3,14,MiddleWeight,10
Ricardo,Abreu,Demente,"5' 11""",185 lbs.,--,Orthodox,5,1,0,0,3.79,31%,3.98,68%,2.13,42%,100%,0.7,6,MiddleWeight,11
Klidson,Abreu,White Bear,"6' 0""",205 lbs.,"74.0""",Orthodox,15,4,0,0,2.05,40%,2.90,55%,0.64,20%,80%,0.0,19,LightHeavyWeight,12
Cyborg,Abreu,,--,--,--,,0,0,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,0,HeavyWeight,13
Daniel,Acacio,,"5' 8""",180 lbs.,--,Orthodox,30,18,0,0,3.52,36%,2.85,62%,0.33,20%,81%,0.0,48,MiddleWeight,14
John,Adajar,The Outlaw,"5' 9""",170 lbs.,"75.0""",Orthodox,6,2,0,0,3.90,52%,6.28,44%,0.00,0%,0%,0.0,8,WelterWeight,15
Scott,Adams,,"6' 0""",225 lbs.,--,Southpaw,8,1,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,9,HeavyWeight,16
Juan,Adams,The Kraken,"6' 5""",265 lbs.,"80.0""",Orthodox,5,3,0,0,7.09,55%,4.06,34%,0.91,66%,57%,0.0,8,HeavyWeight,17
Anthony,Adams,Sugafoot,"6' 1""",185 lbs.,"76.0""",Orthodox,8,2,0,0,3.17,41%,5.93,44%,0.00,0%,0%,0.0,10,MiddleWeight,18
Zarrukh,Adashev,The Lion,"5' 5""",125 lbs.,"65.0""",Southpaw,4,4,0,0,3.65,40%,3.04,64%,0.00,0%,100%,0.5,8,FlyWeight,19
Israel,Adesanya,The Last Stylebender,"6' 4""",185 lbs.,"80.0""",Switch,24,3,0,0,3.93,48%,3.11,56%,0.05,14%,77%,0.1,27,MiddleWeight,20
Sam,Adkins,The Experience,"6' 3""",225 lbs.,--,Orthodox,7,20,2,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,29,HeavyWeight,21
Nick,Agallar,,"5' 8""",155 lbs.,--,Orthodox,24,6,0,0,0.69,11%,4.56,42%,0.00,0%,0%,0.0,30,LightWeight,22
Mariya,Agapova,Demonslayer,"5' 6""",125 lbs.,"68.0""",Southpaw,10,4,0,0,4.67,55%,3.82,52%,0.59,66%,47%,0.9,14,FlyWeight,23
Kantharaj,Agasa,Kannadiga,--,135 lbs.,--,,12,3,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,15,BantamWeight,24
Marcelo,Aguiar,,"5' 10""",170 lbs.,--,Orthodox,2,3,1,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,6,WelterWeight,25
Fabio,Aguiar,,"6' 0""",185 lbs.,--,,17,1,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,18,MiddleWeight,26
Edwin,Aguilar,Tigre,"5' 10""",185 lbs.,--,,26,19,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0,45,MiddleWeight,27
Jessica,Aguilar,Jag,"5' 3""",115 lbs.,"63.0""",Orthodox,20,8,0,0,4.93,50%,7.19,53%,0.94,25%,50%,0.2,28,StrawWeight,28
Kevin,Aguilar,Angel of Death,"5' 7""",155 lbs.,"73.0""",Orthodox,17,5,0,0,3.96,40%,4.81,52%,0.16,16%,78%,0.0,22,LightWeight,29
