ID,Fight_Num,Event_Card,Event_Weight,Red_Event_fighter_image,Red_Fighter_Name,Red_Fighter_Nickname,Blue_Fighter_Name,Blue_Event_fighter_image,Blue_Fighter_Nickname
0,0, main_card, Women's Flyweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-06/RIBAS_AMANDA_L_06-24.png?itok=lL75F3nj, Amanda Ribas, , Rose Namajunas, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-08/NAMAJUNAS_ROSE_R_09-02.png?itok=gHxmp9rq," ""Thug"""
0,1, main_card, Heavyweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-05/WILLIAMS_KARL_L_05-13.png?itok=R52nPebO, Karl Williams, , Justin Tafa, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-02/TAFA_JUSTIN_R_02-17.png?itok=dR_gEVUc," ""Bad Man"""
0,2, main_card, Middleweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-05/SHAHBAZYAN_EDMEN_L_05-20.png?itok=n9KI7LUc, Edmen Shahbazyan," ""The Golden Boy""", AJ Dobson, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2022-05/30f94739-5850-462f-86ee-83b26074f12e%252FDOBSON_AJ_R_02-12.png?itok=913F-9s-, 
0,3, main_card, Bantamweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-11/TALBOTT_PAYTON_L_11-18.png?itok=HT9daebw, Payton Talbott, , Cameron Saaiman, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-03/SAAIMAN_CAMERON_R_03-05.png?itok=aWwGKqK3," ""MSP"""
0,4, main_card, Featherweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-08/QUARANTILLO_BILLY_L_08-05.png?itok=xyC9v73c, Billy Quarantillo, , Youssef Zalal, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2022-08/ZALAL_YOUSSEF_R_08-13.png?itok=JSKZ1Vgk," ""The Moroccan Devil"""
0,5, main_card, Featherweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-06/PADILLA_FERNANDO_L_04-29.png?itok=eCm0SzfE, Fernando Padilla," ""El Valiente """, Luis Pajuelo, https://www.ufc.com/themes/custom/ufc/assets/img/SHADOW_Fighter_fullLength_BLUE.png," ""Corazón de León"""
0,6, prelims, Lightweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-08/HOLOBAUGH_KURT_L_08-19.png?itok=E2wSouM7, Kurt Holobaugh, , Trey Ogden, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-04/OGDEN_TREY_R_04-08.png?itok=2O0xZAYe," ""Shamurai"""
0,7, prelims, Featherweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-03/RAMOS_RICARDO_L_03-11.png?itok=jJ2epRB_, Ricardo Ramos, , Julian Erosa, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2022-12/EROSA_JULIAN_R_12-17.png?itok=fAQpZ9yW," ""Juicy J"""
0,8, prelims, Bantamweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-06/JOHNS_MILES_L_11_19.png?itok=OVMpGNVA, Miles Johns," ""Chapo""", Cody Gibson, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-08/GIBSON_CODY_R_08-19.png?itok=u7DHGLH-," ""The Renegade"""
0,9, prelims, Featherweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2022-09/ERRENS_JARNO_L_09-03.png?itok=SISodCPF, Jarno Errens, , Steven Nguyen, https://www.ufc.com/s3/files/styles/event_fight_card_upper_body_of_standing_athlete/s3/2021-09/69721%252Fprofile-galery%252Ffullbodyleft-picture%252FNGUYEN_STEVEN_L-cs.png?itok=M6PkpDnz," ""The Ninja """
0,10, prelims, Women's Bantamweight Bout , https://www.ufc.com/s3/files/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-03/RENDON_MONTSERRAT_L_09-23.png?itok=KrxXVhpI, Montserrat Rendon," ""Monster""", Daria Zheleznyakova, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/image/2022-02/womens-silhouette-BLUE-corner.png?itok=bYCcdQLM," ""Iron Lady """
0,11, prelims, Flyweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-03/DA_SILVA_IGOR_L_09-19.png?itok=-Oec1jmB, Igor Severino, , Andre Lima, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-03/LIMA_ANDRE_R.png?itok=sPF-07oA," ""Mascote"""
0,12, prelims, Heavyweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-04/USMAN_MOHAMMAD_L_04-22.png?itok=re8DiJyk, Mohammed Usman," ""The Motor""", Mick Parkin, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-07/PARKIN_MICK_R_07-22.png?itok=NlSaUh5B, 
1,13, None, Women's Flyweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-08/BLANCHFIELD_ERIN_L.png?itok=Ipa2FhRl, Erin Blanchfield," ""Cold Blooded""", Manon Fiorot, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2022-10/FIOROT_MANON_R_10-22.png?itok=e78SGLzb," ""The Beast"""
1,14, None, Welterweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-08/LUQUE_VICENTE_L_08-12.png?itok=ZQLA-4oq, Vicente Luque," ""The Silent Assassin""", Joaquin Buckley, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-05/BUCKLEY_JOAQUIN_R_05-20.png?itok=7sd3mVPL," ""New Mansa"""
1,15, None, Middleweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-08/WEIDMAN_CHRIS_L_08-19.png?itok=glMemug7, Chris Weidman," ""The All-American""", Bruno Silva, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-06/SILVA_BRUNO_R_06-24.png?itok=WeRhjeMI," ""Blindado"""
1,16, None, Middleweight Bout , https://www.ufc.com/s3/files/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-03/RUZIBOEV_NURSULTON_L_07-01.png?itok=ZqZFWk8y, Nursulton Ruziboev," ""Black""", Sedriques Dumas, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-06/DUMAS_SEDRIQUES_R_06-24.png?itok=DloyOAir," ""The Reaper"""
1,17, None, Featherweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-04/ALGEO_BILL_L_04-15.png?itok=9BRzuXY8, Bill Algeo," ""Senor Perfecto""", Kyle Nelson, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-09/NELSON_KYLE_R_09-16.png?itok=T567SKC5," ""The Monster"""
1,18, None, Welterweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-08/NJOKUANI_CHIDI_L.png?itok=dnXWQUOj, Chidi Njokuani," ""Bang Bang""", Rhys McKee, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-08/MCKEE_RHYS_R_09-02.png?itok=x5ZXotFC," ""Skelator"""
1,19, None, Featherweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-03/LANDWEHR_NATE_L_03-25.png?itok=Oi4xuH98, Nate Landwehr," ""The Train""", Jamall Emmers, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-11/EMMERS_JAMALL_R_11-11.png?itok=rQAJQ6K5," ""Pretty Boy"""
1,20, None, Women's Strawweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-06/JANDIROBA_VIRNA_L_05-06.png?itok=bYZEAbMl, Virna Jandiroba," ""Carcará""", Loopy Godinez, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-11/GODINEZ_LOOPY_R_11-11.png?itok=SIh55rvz, 
1,21, None, Featherweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2021-07/68407%252Fprofile-galery%252Ffullbodyleft-picture%252FARCE_JULIO_L_07-24.png?itok=JG3qoufA, Julio Arce, , Herbert Burns, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2022-07/BURNS_HERBERT_R_07-16.png?itok=7xWBCQpj," ""The Blaze"""
1,22, None, Featherweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-11/BUZUKJA_DENNIS_L_11-11.png?itok=1kTsbPVO, Dennis Buzukja," ""The Great""", Connor Matthews, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2022-07/MATTHEWS_CONNOR_R_CS.png?itok=3hMBxz6v, 
1,23, None, Light Heavyweight Bout , https://www.ufc.com/themes/custom/ufc/assets/img/SHADOW_Fighter_fullLength_RED.png, Ibo Aslan, , Anton Turkalj, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-09/TURKALJ_ANTON_R_09-09.png?itok=U-ACm--w," ""The Pleasure Man """
1,24, None, Women's Flyweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-07/DUDAKOVA_VIKTORIIA_L_07-15.png?itok=GESWtqpz, Viktoriia Dudakova, , Melissa Gatto, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-06/GATTO_MELISSA_R_07-01.png?itok=Auvvsqd0, 
1,25, None, Middleweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-08/PETROSKI_ANDRE_L_08-19.png?itok=2sYw_Oya, Andre Petroski, , Jacob Malkoun, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2022-06/20980bb4-7bf3-4218-abb7-79ba970ae0c9%252FMALKOUN_JACOB_R_06-11.png?itok=j08yaHfo," ""Mamba"""
1,26, None, Bantamweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-01/PACHECO_ANGEL_L.png?itok=konaXXFD, Angel Pacheco, , Caolán Loughran, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-08/LOUGHRAN_CAOLAN_R_09-02.png?itok=pFgkHywx," ""The Don"""
2,27, None, Middleweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-11/ALLEN_BRENDAN_L_11-18.png?itok=9H7YlxZ_, Brendan Allen," ""All In""", Chris Curtis, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-06/CURTIS_CHRIS_R_06-10.png?itok=swBJfSdJ," ""Action-Man"""
2,28, None, Flyweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-02/JOHNSON_JOSE_L_02-25.png?itok=4fqKXyZP, Jose Johnson," ""Lobo Solitario""", Lucas Rocha, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-02/ROCHA_LUCAS_R.png?itok=TkATK09d, 
2,29, None, Lightweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-06/PEEK_TREVOR_L_06-24.png?itok=vScndsaW, Trevor Peek, , Charlie Campbell, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-09/CAMPBELL_CHARLIE_R_09-16.png?itok=DmMQBKH2," ""The Cannibal """
2,30, None, Featherweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-02/HERNANDEZ_ALEXANDER_L_02-18.png?itok=KWOd1rQf, Alexander Hernandez," ""The Great Ape""", Damon Jackson, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-08/JACKSON_DAMON_R_08-05.png?itok=JYj1p-WP," ""The Leech"""
2,31, None, Bantamweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2022-04/HEILI_ALATENG_L_09-18.png?itok=Gy4KAczf, Alatengheili," ""The Mongolian Knight""", Victor Hugo, https://www.ufc.com/themes/custom/ufc/assets/img/SHADOW_Fighter_fullLength_BLUE.png," ""Striker"""
2,32, None, Middleweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-09/FREMD_JOSH_L_08-12.png?itok=OgYWEWVK, Josh Fremd, , Cesar Almeida, https://www.ufc.com/themes/custom/ufc/assets/img/SHADOW_Fighter_fullLength_BLUE.png," ""Cesinha"""
2,33, None, Women's Strawweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2022-04/d24bbf1e-86f7-4b24-a438-4a4938dc6833%252FRODRIGUEZ_PIERA_L_04-09.png?itok=UVYeWtFR, Piera Rodriguez," ""La Fiera""", Cynthia Calvillo, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-06/CALVILLO_CYNTHIA_R_04-08.png?itok=4FnJsDYO, 
2,34, None, Welterweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-06/MCGEE_COURT_L_05-13.png?itok=fYAyzjXf, Court McGee," ""The Crusher""", Alex Morono, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-05/MORONO_ALEX_R_05-13.png?itok=0Nw9LoCB," ""The Great White"""
2,35, None, Heavyweight Bout , https://www.ufc.com/themes/custom/ufc/assets/img/SHADOW_Fighter_fullLength_RED.png, Valter Walker, , Lukasz Brzeski, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-08/BRZESKI_LUKASZ_R.png?itok=iSqv8gJG," ""The Bull"""
2,36, None, Bantamweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-12/ARGUETA_DAN_L_09-23.png?itok=44qb6R8c, Dan Argueta," ""The Determined""", Jean Matsumoto, https://www.ufc.com/themes/custom/ufc/assets/img/SHADOW_Fighter_fullLength_BLUE.png, 
2,37, None, Women's Bantamweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-07/DUMONT_NORMA_L_07-15.png?itok=Tnses2gA, Norma Dumont," ""The Immortal""", Germaine de Randamie, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2019-12/DE_RANDAMIE_GERMAINE_R.png?VersionId=VjBGzsokIBgUKhTLDP9sdnSSgWr0Z56T&itok=8rt9Gnq_," ""The Iron Lady"""
2,38, None, Featherweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-08/CHARRIERE_MORGAN_L_09-02.png?itok=4WMaLSIs, Morgan Charriere," ""The Last Pirate""", Chepe Mariscal, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-06/MARISCAL_CHEPE_R_06-24.png?itok=SHjTM3dm, 
2,39, None, Women's Bantamweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-08/CORNOLLE_NORA_L_09-02.png?itok=54AIgsb6, Nora Cornolle, , Melissa Mullins, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-10/DIXON_MELISSA_R_10-14.png?itok=1LL8DAbx," ""No Mess """
2,40, None, Lightweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-08/BAHAMONDES_IGNACIO_L_08-05.png?itok=lxu_1kJ6, Ignacio Bahamondes," ""La Jaula""", Christos Giagos, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-09/GIAGOS_CHRISTOS_R_09-16.png?itok=wZnqxhFK," ""The Spartan"""
3,41, main_card, Light Heavyweight Title Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-04/PEREIRA_ALEX_L_BELT_04-08.png?itok=anD_XOxa, Alex Pereira," ""Poatan""", Jamahal Hill, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-01/HILL_JAMAHAL_R_01-19.png?itok=pO3TpQqW," ""Sweet Dreams"""
3,42, main_card, Women's Strawweight Title Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-08/WEILI_ZHANG_L_BELT_08-19.png?itok=fl_jBtkD, Zhang Weili," ""Magnum""", Yan Xiaonan, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2022-09/XIAONAN_YAN_R_10-01.png?itok=mcoz_wCm, 
3,43, main_card, Lightweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-03/GAETHJE_JUSTIN_L_03-18.png?itok=13_9YS_o, Justin Gaethje," ""The Highlight""", Max Holloway, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-06/HOLLOWAY_MAX_R_04-15.png?itok=KaRXBZAd," ""Blessed"""
3,44, main_card, Lightweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-06/OLIVEIRA_CHARLES_L_06-10.png?itok=VPfDbyu9, Charles Oliveira," ""Do Bronxs""", Arman Tsarukyan, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-11/TSARUKYAN_ARMAN_R_12-02.png?itok=nSaIuoIC," ""Ahalkalakets"""
3,45, main_card, Middleweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-07/NICKAL_BO_L_07-08.png?itok=8iSpBQRl, Bo Nickal, , Cody Brundage, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-04/BRUNDAGE_CODY_R_04_28.png?itok=TP8yaSj_, 
3,46, prelims, Light Heavyweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-11/PROCHAZKA_JIRI_L_11-11.png?itok=8GR_uOHl, Jiří Procházka, , Aleksandar Rakić, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2022-05/c7ca3d32-7508-4274-b0a9-006a24fb690f%252FRAKIC_ALEKSANDAR_R_05-14.png?itok=h1P2v3y3," ""Rocket"""
3,47, prelims, Featherweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2022-06/ac42f8ef-be39-4cec-9e97-79e5d3ecd610%252FKATTAR_CALVIN_L_06-18.png?itok=ptXbljvM, Calvin Kattar, , Aljamain Sterling, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/image/ufc-fighter-container/67275/profile-galery/fullbodyright-picture/STERLING_ALJAMAIN_R.png?VersionId=ZlL7a88HeP6iYw0gK0J91NDATc_2Aw.w&itok=5bRA6h99," ""Funk Master"""
3,48, prelims, Women's Bantamweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-07/HOLM_HOLLY_L_07-15.png?itok=Uwz1GpSI, Holly Holm," ""The Preacher's Daughter""", Kayla Harrison, https://www.ufc.com/themes/custom/ufc/assets/img/womens-silhouette-BLUE-corner.png, 
3,49, prelims, Featherweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-01/YUSUFF_SODIQ_L_10-14.png?itok=iCrOJEHJ, Sodiq Yusuff," ""Super""", Diego Lopes, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-05/LOPES_DIEGO_R_05-06.png?itok=xrPkdKuN, 
3,50, early_prelims, Lightweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-11/TURNER_JALIN_L_12-02.png?itok=LNFRh62X, Jalin Turner," ""The Tarantula""", Renato Moicano, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-02/MOICANO_RENATO_R_02-03.png?itok=jXKNEQxU, 
3,51, early_prelims, Women's Strawweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-11/ANDRADE_JESSICA_L_11-11.png?itok=djhwFjFD, Jéssica Andrade," ""Bate Estaca""", Marina Rodriguez, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2021-10/68706%252Fprofile-galery%252Ffullbodyright-picture%252FRODRIGUEZ_MARINA_R_10-09.png?itok=3sbk3lZL, 
3,52, early_prelims, Lightweight Bout , https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2023-04/GREEN_BOBBY_L_04-22.png?itok=yaKgqBHW, Bobby Green," ""King""", Jim Miller, https://dmxg5wxfqgb4u.cloudfront.net/styles/event_fight_card_upper_body_of_standing_athlete/s3/2024-01/MILLER_JIM_R_01-13.png?itok=T-iLhFAE," ""A-10"""
