ID,Event_Name,Event_Date,Red_Fighter_images,Blue_Fighter_images
0,Ribas vs Namajunas,"Sat, Mar 23 / 10:00 PM EDT / Main Card",https://dmxg5wxfqgb4u.cloudfront.net/styles/event_results_athlete_headshot/s3/2023-11/RIBAS_AMANDA_11-18.png?itok=s3YuLD3a,https://dmxg5wxfqgb4u.cloudfront.net/styles/event_results_athlete_headshot/s3/2023-08/NAMAJUNAS_ROSE_09-02.png?itok=NLQIZews
1,Blanchfield vs Fiorot,"Sat, Mar 30 / 10:00 PM EDT / Main Card",https://dmxg5wxfqgb4u.cloudfront.net/styles/event_results_athlete_headshot/s3/2023-08/BLANCHFIELD_ERIN.png?itok=LdvmnU-H,https://dmxg5wxfqgb4u.cloudfront.net/styles/event_results_athlete_headshot/s3/2023-08/FIOROT_MANON_09-02.png?itok=6YyG08va
2,Allen vs Curtis 2,"Sat, Apr 6 / 6:00 PM EDT / Main Card",https://dmxg5wxfqgb4u.cloudfront.net/styles/event_results_athlete_headshot/s3/2023-11/ALLEN_BRENDAN_11-18.png?itok=OK1-SN9O,https://dmxg5wxfqgb4u.cloudfront.net/styles/event_results_athlete_headshot/s3/2024-01/CURTIS_CHRIS_01-20.png?itok=Sc9azhtU
3,Pereira vs Hill,"Sat, Apr 13 / 10:00 PM EDT / Main Card",https://dmxg5wxfqgb4u.cloudfront.net/styles/event_results_athlete_headshot/s3/2023-04/PEREIRA_ALEX_BELT_04-08.png?itok=suihgkON,https://dmxg5wxfqgb4u.cloudfront.net/styles/event_results_athlete_headshot/s3/2023-01/HILL_JAMAHAL_01-19.png?itok=Ke5djN8r
4,Nicolau vs Kape 2,"Sat, Apr 27 / 7:00 PM EDT / Main Card",https://dmxg5wxfqgb4u.cloudfront.net/styles/event_results_athlete_headshot/s3/2024-01/NICOLAU_MATHEUS_01-13.png?itok=6nIfgtYu,https://dmxg5wxfqgb4u.cloudfront.net/styles/event_results_athlete_headshot/s3/2024-01/KAPE_MANEL_01-13.png?itok=SjbyZD1l
5,Pantoja vs Erceg,"Sat, May 4 / 10:00 PM EDT / Main Card",https://dmxg5wxfqgb4u.cloudfront.net/styles/event_results_athlete_headshot/s3/2023-12/PANTOJA_ALEXANDRE_12-16.png?itok=MC4pHQlr,https://dmxg5wxfqgb4u.cloudfront.net/styles/event_results_athlete_headshot/s3/2024-02/ERCEG_STEVEN_03-02.png?itok=_8Bg4mn_
6,TBD vs TBD,"Sat, May 11 / 7:00 PM EDT / Main Card",https://dmxg5wxfqgb4u.cloudfront.net/styles/event_results_athlete_headshot/s3/2019-04/SILHOUETTE.png?itok=50meVKBM,https://dmxg5wxfqgb4u.cloudfront.net/styles/event_results_athlete_headshot/s3/2019-04/SILHOUETTE.png?itok=50meVKBM
7,TBD vs TBD,"Sat, Jun 22 / 3:00 PM EDT / Main Card",https://dmxg5wxfqgb4u.cloudfront.net/styles/event_results_athlete_headshot/s3/2019-04/SILHOUETTE.png?itok=50meVKBM,https://dmxg5wxfqgb4u.cloudfront.net/styles/event_results_athlete_headshot/s3/2019-04/SILHOUETTE.png?itok=50meVKBM
8,Tuivasa vs Tybura,"Sat, Mar 16 / 7:00 PM EDT / Main Card",https://dmxg5wxfqgb4u.cloudfront.net/styles/event_results_athlete_headshot/s3/2024-03/TUIVASA_TAI_03-16.png?itok=hEPx31Lz,https://dmxg5wxfqgb4u.cloudfront.net/styles/event_results_athlete_headshot/s3/2024-03/TYBURA_MARCIN_03-16.png?itok=mp9ocbdY
9,O'Malley vs Vera 2,"Sat, Mar 9 / 10:00 PM EST / Main Card",https://dmxg5wxfqgb4u.cloudfront.net/styles/event_results_athlete_headshot/s3/2024-03/OMALLEY_SEAN_BELT_03-09.png?itok=OJYGcdG-,https://dmxg5wxfqgb4u.cloudfront.net/styles/event_results_athlete_headshot/s3/2024-03/VERA_MARLON_03-09.png?itok=-325tA-2
